310M200US35620,35620,19716880,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York Metro Area,New York
310M200US31080,31080,12945252,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles Metro Area,Los Angeles
310M200US16980,16980,9488493,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Chicago Metro Area,Chicago
310M200US19100,19100,6575833,"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas-Ft. Worth Metro Area,Dallas-Ft. Worth
310M200US26420,26420,6063540,"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston Metro Area,Houston
310M200US37980,37980,5992766,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia Metro Area,Philadelphia
310M200US47900,47900,5759330,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington Metro Area,Washington
310M200US33100,33100,5673185,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",Miami Metro Area,Miami
310M200US12060,12060,5379176,"Atlanta-Sandy Springs-Roswell, GA Metro Area",Atlanta Metro Area,Atlanta
310M200US14460,14460,4604278,"Boston-Cambridge-Newton, MA-NH Metro Area",Boston Metro Area,Boston
310M200US41860,41860,4402729,"San Francisco-Oakland-Hayward, CA Metro Area",San Francisco Metro Area,San Francisco
310M200US19820,19820,4295700,"Detroit-Warren-Dearborn, MI Metro Area",Detroit Metro Area,Detroit
310M200US40140,40140,4285443,"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside Metro Area,Riverside
310M200US38060,38060,4268289,"Phoenix-Mesa-Scottsdale, AZ Metro Area",Phoenix Metro Area,Phoenix
310M200US42660,42660,3504628,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle Metro Area,Seattle
310M200US33460,33460,3391191,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis-St. Paul Metro Area,Minneapolis-St. Paul
310M200US41740,41740,3138265,"San Diego-Carlsbad, CA Metro Area",San Diego Metro Area,San Diego
310M200US45300,45300,2819241,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa Metro Area,Tampa
310M200US41180,41180,2792127,"St. Louis, MO-IL Metro Area",St. Louis Metro Area,St. Louis
310M200US12580,12580,2734044,"Baltimore-Columbia-Towson, MD Metro Area",Baltimore Metro Area,Baltimore
310M200US19740,19740,2601465,"Denver-Aurora-Lakewood, CO Metro Area",Denver Metro Area,Denver
310M200US38300,38300,2358746,"Pittsburgh, PA Metro Area",Pittsburgh Metro Area,Pittsburgh
310M200US16740,16740,2261321,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte Metro Area,Charlotte
310M200US38900,38900,2260591,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland OR Metro Area,Portland OR
310M200US41700,41700,2192724,"San Antonio-New Braunfels, TX Metro Area",San Antonio Metro Area,San Antonio
310M200US36740,36740,2183363,"Orlando-Kissimmee-Sanford, FL Metro Area",Orlando Metro Area,Orlando
310M200US40900,40900,2174401,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",Sacramento Metro Area,Sacramento
310M200US17140,17140,2122940,"Cincinnati, OH-KY-IN Metro Area",Cincinnati Metro Area,Cincinnati
310M200US17460,17460,2070965,"Cleveland-Elyria, OH Metro Area",Cleveland OH Metro Area,Cleveland OH
310M200US28140,28140,2025297,"Kansas City, MO-KS Metro Area",Kansas City Metro Area,Kansas City
310M200US29820,29820,1976925,"Las Vegas-Henderson-Paradise, NV Metro Area",Las Vegas Metro Area,Las Vegas
310M200US18140,18140,1926242,"Columbus, OH Metro Area",Columbus OH Metro Area,Columbus OH
310M200US26900,26900,1911795,"Indianapolis-Carmel-Anderson, IN Metro Area",Indianapolis Metro Area,Indianapolis
310M200US41940,41940,1868323,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose Metro Area,San Jose
310M200US12420,12420,1782032,"Austin-Round Rock, TX Metro Area",Austin Metro Area,Austin
310M200US34980,34980,1702603,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville Metro Area,Nashville
310M200US47260,47260,1688238,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",Virginia Beach Metro Area,Virginia Beach
310M200US39300,39300,1601565,"Providence-Warwick, RI-MA Metro Area",Providence Metro Area,Providence
310M200US33340,33340,1560621,"Milwaukee-Waukesha-West Allis, WI Metro Area",Milwaukee Metro Area,Milwaukee
310M200US27260,27260,1363610,"Jacksonville, FL Metro Area",Jacksonville FL Metro Area,Jacksonville FL
310M200US32820,32820,1331931,"Memphis, TN-MS-AR Metro Area",Memphis Metro Area,Memphis
310M200US36420,36420,1277830,"Oklahoma City, OK Metro Area",Oklahoma City Metro Area,Oklahoma City
310M200US31140,31140,1244880,"Louisville/Jefferson County, KY-IN Metro Area",Louisville Metro Area,Louisville
310M200US40060,40060,1221729,"Richmond, VA Metro Area",Richmond Metro Area,Richmond
310M200US25540,25540,1213883,"Hartford-West Hartford-East Hartford, CT Metro Area",Hartford Metro Area,Hartford
310M200US35380,35380,1209239,"New Orleans-Metairie, LA Metro Area",New Orleans Metro Area,New Orleans
310M200US39580,39580,1162689,"Raleigh, NC Metro Area",Raleigh Metro Area,Raleigh
310M200US15380,15380,1134695,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",Buffalo Metro Area,Buffalo
310M200US13820,13820,1132182,"Birmingham-Hoover, AL Metro Area",Birmingham AL Metro Area,Birmingham AL
310M200US41620,41620,1107434,"Salt Lake City, UT Metro Area",Salt Lake City Metro Area,Salt Lake City
310M200US40380,40380,1081126,"Rochester, NY Metro Area",Rochester NY Metro Area,Rochester NY
310M200US24340,24340,998916,"Grand Rapids-Wyoming, MI Metro Area",Grand Rapids Metro Area,Grand Rapids
310M200US46060,46060,986891,"Tucson, AZ Metro Area",Tucson Metro Area,Tucson
310M200US46520,46520,964678,"Urban Honolulu, HI Metro Area",Honolulu Metro Area,Honolulu
310M200US46140,46140,945802,"Tulsa, OK Metro Area",Tulsa Metro Area,Tulsa
310M200US23420,23420,939605,"Fresno, CA Metro Area",Fresno Metro Area,Fresno
310M200US14860,14860,926233,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bridgeport Metro Area,Bridgeport
310M200US49340,49340,920803,"Worcester, MA-CT Metro Area",Worcester Metro Area,Worcester
310M200US10740,10740,893241,"Albuquerque, NM Metro Area",Albuquerque Metro Area,Albuquerque
310M200US36540,36540,876355,"Omaha-Council Bluffs, NE-IA Metro Area",Omaha Metro Area,Omaha
310M200US10580,10580,873238,"Albany-Schenectady-Troy, NY Metro Area",Albany NY Metro Area,Albany NY
310M200US35300,35300,862611,"New Haven-Milford, CT Metro Area",New Haven Metro Area,New Haven
310M200US12540,12540,848204,"Bakersfield, CA Metro Area",Bakersfield Metro Area,Bakersfield
310M200US28940,28940,843268,"Knoxville, TN Metro Area",Knoxville Metro Area,Knoxville
310M200US24860,24860,834277,"Greenville-Anderson-Mauldin, SC Metro Area",Greenville SC Metro Area,Greenville SC
310M200US37100,37100,829017,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",Oxnard Metro Area,Oxnard
310M200US10900,10900,823731,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown Metro Area,Allentown
310M200US21340,21340,816409,"El Paso, TX Metro Area",El Paso Metro Area,El Paso
310M200US12940,12940,808816,"Baton Rouge, LA Metro Area",Baton Rouge Metro Area,Baton Rouge
310M200US19380,19380,801888,"Dayton, OH Metro Area",Dayton Metro Area,Dayton
310M200US32580,32580,790646,"McAllen-Edinburg-Mission, TX Metro Area",McAllen Metro Area,McAllen
310M200US17900,17900,776794,"Columbia, SC Metro Area",Columbia SC Metro Area,Columbia SC
310M200US24660,24660,730342,"Greensboro-High Point, NC Metro Area",Greensboro Metro Area,Greensboro
310M200US35840,35840,712581,"North Port-Sarasota-Bradenton, FL Metro Area",North Port Metro Area,North Port
310M200US30780,30780,709447,"Little Rock-North Little Rock-Conway, AR Metro Area",Little Rock Metro Area,Little Rock
310M200US10420,10420,704979,"Akron, OH Metro Area",Akron Metro Area,Akron
310M200US44700,44700,693177,"Stockton-Lodi, CA Metro Area",Stockton Metro Area,Stockton
310M200US16700,16700,682904,"Charleston-North Charleston, SC Metro Area",Charleston NC Metro Area,Charleston NC
310M200US45060,45060,661838,"Syracuse, NY Metro Area",Syracuse Metro Area,Syracuse
310M200US17820,17820,657699,"Colorado Springs, CO Metro Area",Colorado Springs Metro Area,Colorado Springs
310M200US49180,49180,644250,"Winston-Salem, NC Metro Area",Winston Metro Area,Winston
310M200US15980,15980,633968,"Cape Coral-Fort Myers, FL Metro Area",Cape Coral Metro Area,Cape Coral
310M200US48620,48620,633020,"Wichita, KS Metro Area",Wichita Metro Area,Wichita
310M200US14260,14260,628966,"Boise City, ID Metro Area",Boise Metro Area,Boise
310M200US44140,44140,624411,"Springfield, MA Metro Area",Springfield MA Metro Area,Springfield MA
310M200US31540,31540,614019,"Madison, WI Metro Area",Madison Metro Area,Madison
310M200US29460,29460,610295,"Lakeland-Winter Haven, FL Metro Area",Lakeland Metro Area,Lakeland
310M200US45780,45780,609437,"Toledo, OH Metro Area",Toledo Metro Area,Toledo
310M200US36260,36260,605609,"Ogden-Clearfield, UT Metro Area",Ogden Metro Area,Ogden
310M200US19660,19660,593569,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",Deltona Metro Area,Deltona
310M200US19780,19780,580913,"Des Moines-West Des Moines, IA Metro Area",Des Moines Metro Area,Des Moines
310M200US27140,27140,571881,"Jackson, MS Metro Area",Jackson MS Metro Area,Jackson MS
310M200US12260,12260,570516,"Augusta-Richmond County, GA-SC Metro Area",Augusta Metro Area,Augusta
310M200US42540,42540,563279,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",Scranton Metro Area,Scranton
310M200US49660,49660,561884,"Youngstown-Warren-Boardman, OH-PA Metro Area",Youngstown Metro Area,Youngstown
310M200US25420,25420,552292,"Harrisburg-Carlisle, PA Metro Area",Harrisburg Metro Area,Harrisburg
310M200US37340,37340,545667,"Palm Bay-Melbourne-Titusville, FL Metro Area",Palm Bay Metro Area,Palm Bay
310M200US39340,39340,539562,"Provo-Orem, UT Metro Area",Provo Metro Area,Provo
310M200US16860,16860,533187,"Chattanooga, TN-GA Metro Area",Chattanooga Metro Area,Chattanooga
310M200US44060,44060,530301,"Spokane-Spokane Valley, WA Metro Area",Spokane Metro Area,Spokane
310M200US29540,29540,523306,"Lancaster, PA Metro Area",Lancaster Metro Area,Lancaster
310M200US33700,33700,518321,"Modesto, CA Metro Area",Modesto Metro Area,Modesto
310M200US20500,20500,516798,"Durham-Chapel Hill, NC Metro Area",Durham-Chapel Hill Metro Area,Durham-Chapel Hill
310M200US38860,38860,516460,"Portland-South Portland, ME Metro Area",Portland ME Metro Area,Portland ME
310M200US42220,42220,487469,"Santa Rosa, CA Metro Area",Santa Rosa Metro Area,Santa Rosa
310M200US30460,30460,478699,"Lexington-Fayette, KY Metro Area",Lexington Metro Area,Lexington
310M200US22220,22220,473913,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",Fayetteville AR Metro Area,Fayetteville AR
310M200US29180,29180,471070,"Lafayette, LA Metro Area",Lafayette LA Metro Area,Lafayette LA
310M200US29620,29620,465253,"Lansing-East Lansing, MI Metro Area",Lansing Metro Area,Lansing
310M200US37860,37860,456374,"Pensacola-Ferry Pass-Brent, FL Metro Area",Pensacola Metro Area,Pensacola
310M200US47300,47300,446644,"Visalia-Porterville, CA Metro Area",Visalia Metro Area,Visalia
310M200US43340,43340,443350,"Shreveport-Bossier City, LA Metro Area",Shreveport Metro Area,Shreveport
310M200US44180,44180,441050,"Springfield, MO Metro Area",Springfield MO Metro Area,Springfield MO
310M200US49620,49620,436339,"York-Hanover, PA Metro Area",York Metro Area,York
310M200US18580,18580,433094,"Corpus Christi, TX Metro Area",Corpus Christi Metro Area,Corpus Christi
310M200US39900,39900,429476,"Reno, NV Metro Area",Reno Metro Area,Reno
310M200US11700,11700,429177,"Asheville, NC Metro Area",Asheville Metro Area,Asheville
310M200US38940,38940,428801,"Port St. Lucie, FL Metro Area",Port St. Lucie Metro Area,Port St. Lucie
310M200US42200,42200,427288,"Santa Maria-Santa Barbara, CA Metro Area",Santa Maria Metro Area,Santa Maria
310M200US26620,26620,424543,"Huntsville, AL Metro Area",Huntsville Metro Area,Huntsville
310M200US22420,22420,421575,"Flint, MI Metro Area",Flint Metro Area,Flint
310M200US41500,41500,420569,"Salinas, CA Metro Area",Salinas Metro Area,Salinas
310M200US23060,23060,419305,"Fort Wayne, IN Metro Area",Fort Wayne Metro Area,Fort Wayne
310M200US46700,46700,417258,"Vallejo-Fairfield, CA Metro Area",Vallejo Metro Area,Vallejo
310M200US33660,33660,413188,"Mobile, AL Metro Area",Mobile Metro Area,Mobile
310M200US39740,39740,412078,"Reading, PA Metro Area",Reading Metro Area,Reading
310M200US28660,28660,412047,"Killeen-Temple, TX Metro Area",Killeen Metro Area,Killeen
310M200US15180,15180,410710,"Brownsville-Harlingen, TX Metro Area",Brownsville Metro Area,Brownsville
310M200US15940,15940,404037,"Canton-Massillon, OH Metro Area",Canton Metro Area,Canton
310M200US13140,13140,403814,"Beaumont-Port Arthur, TX Metro Area",Beaumont Metro Area,Beaumont
310M200US31700,31700,402017,"Manchester-Nashua, NH Metro Area",Manchester Metro Area,Manchester
310M200US41420,41420,394371,"Salem, OR Metro Area",Salem Metro Area,Salem
310M200US34820,34820,387012,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",Myrtle Beach Metro Area,Myrtle Beach
310M200US11260,11260,386756,"Anchorage, AK Metro Area",Anchorage Metro Area,Anchorage
310M200US19340,19340,381142,"Davenport-Moline-Rock Island, IA-IL Metro Area",Davenport Metro Area,Davenport
310M200US37900,37900,380163,"Peoria, IL Metro Area",Peoria Metro Area,Peoria
310M200US41540,41540,378141,"Salisbury, MD-DE Metro Area",Salisbury Metro Area,Salisbury
310M200US25060,25060,375259,"Gulfport-Biloxi-Pascagoula, MS Metro Area",Gulfport Metro Area,Gulfport
310M200US33860,33860,374868,"Montgomery, AL Metro Area",Montgomery Metro Area,Montgomery
310M200US22180,22180,370875,"Fayetteville, NC Metro Area",Fayetteville NC Metro Area,Fayetteville NC
310M200US45220,45220,370777,"Tallahassee, FL Metro Area",Tallahassee Metro Area,Tallahassee
310M200US45940,45940,368094,"Trenton, NJ Metro Area",Trenton Metro Area,Trenton
310M200US26580,26580,364749,"Huntington-Ashland, WV-KY-OH Metro Area",Huntington Metro Area,Huntington
310M200US25860,25860,364501,"Hickory-Lenoir-Morganton, NC Metro Area",Hickory Metro Area,Hickory
310M200US42340,42340,355473,"Savannah, GA Metro Area",Savannah Metro Area,Savannah
310M200US21660,21660,353382,"Eugene, OR Metro Area",Eugene Metro Area,Eugene
310M200US11460,11460,348560,"Ann Arbor, MI Metro Area",Ann Arbor Metro Area,Ann Arbor
310M200US40420,40420,347452,"Rockford, IL Metro Area",Rockford Metro Area,Rockford
310M200US36100,36100,333503,"Ocala, FL Metro Area",Ocala Metro Area,Ocala
310M200US28020,28020,328660,"Kalamazoo-Portage, MI Metro Area",Kalamazoo Metro Area,Kalamazoo
310M200US34940,34940,328209,"Naples-Immokalee-Marco Island, FL Metro Area",Naples Metro Area,Naples
310M200US43780,43780,318906,"South Bend-Mishawaka, IN-MI Metro Area",South Bend Metro Area,South Bend
310M200US43900,43900,315383,"Spartanburg, SC Metro Area",Spartanburg Metro Area,Spartanburg
310M200US21780,21780,312412,"Evansville, IN-KY Metro Area",Evansville Metro Area,Evansville
310M200US40220,40220,309599,"Roanoke, VA Metro Area",Roanoke Metro Area,Roanoke
310M200US28700,28700,308957,"Kingsport-Bristol-Bristol, TN-VA Metro Area",Kingsport Metro Area,Kingsport
310M200US24580,24580,308706,"Green Bay, WI Metro Area",Green Bay Metro Area,Green Bay
310M200US30700,30700,306697,"Lincoln, NE Metro Area",Lincoln Metro Area,Lincoln
310M200US22660,22660,305798,"Fort Collins, CO Metro Area",Fort Collins Metro Area,Fort Collins
310M200US17980,17980,303626,"Columbus, GA-AL Metro Area",Columbus GA Metro Area,Columbus GA
310M200US14500,14500,301072,"Boulder, CO Metro Area",Boulder Metro Area,Boulder
310M200US46540,46540,298634,"Utica-Rome, NY Metro Area",Utica Metro Area,Utica
310M200US31180,31180,294530,"Lubbock, TX Metro Area",Lubbock Metro Area,Lubbock
310M200US21500,21500,280518,"Erie, PA Metro Area",Erie Metro Area,Erie
310M200US22900,22900,280228,"Fort Smith, AR-OK Metro Area",Fort Smith Metro Area,Fort Smith
310M200US20260,20260,279719,"Duluth, MN-WI Metro Area",Duluth Metro Area,Duluth
310M200US12100,12100,274960,"Atlantic City-Hammonton, NJ Metro Area",Atlantic City Metro Area,Atlantic City
310M200US35980,35980,274090,"Norwich-New London, CT Metro Area",Norwich Metro Area,Norwich
310M200US42020,42020,272094,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",San Luis Obispo Metro Area,San Luis Obispo
310M200US23540,23540,266765,"Gainesville, FL Metro Area",Gainesville FL Metro Area,Gainesville FL
310M200US17300,17300,266098,"Clarksville, TN-KY Metro Area",Clarksville Metro Area,Clarksville
310M200US42100,42100,264808,"Santa Cruz-Watsonville, CA Metro Area",Santa Cruz Metro Area,Santa Cruz
310M200US28420,28420,260827,"Kennewick-Richland, WA Metro Area",Kennewick Metro Area,Kennewick
310M200US16300,16300,260033,"Cedar Rapids, IA Metro Area",Cedar Rapids Metro Area,Cedar Rapids
310M200US48900,48900,259815,"Wilmington, NC Metro Area",Wilmington Metro Area,Wilmington
310M200US24540,24540,258780,"Greeley, CO Metro Area",Greeley Metro Area,Greeley
310M200US32900,32900,258707,"Merced, CA Metro Area",Merced Metro Area,Merced
310M200US36500,36500,256080,"Olympia-Tumwater, WA Metro Area",Olympia Metro Area,Olympia
310M200US47380,47380,255035,"Waco, TX Metro Area",Waco Metro Area,Waco
310M200US29700,29700,254829,"Laredo, TX Metro Area",Laredo Metro Area,Laredo
310M200US11100,11100,254583,"Amarillo, TX Metro Area",Amarillo Metro Area,Amarillo
310M200US25180,25180,254247,"Hagerstown-Martinsburg, MD-WV Metro Area",Hagerstown Metro Area,Hagerstown
310M200US31340,31340,253959,"Lynchburg, VA Metro Area",Lynchburg Metro Area,Lynchburg
310M200US14740,14740,252687,"Bremerton-Silverdale, WA Metro Area",Bremerton Metro Area,Bremerton
